actor_id,actor_name,actor_facebook_likes
1,"CCH Pounder",1000
2,"Johnny Depp",40000
3,"Christoph Waltz",11000
4,"Tom Hardy",27000
5,"Doug Walker",131
6,"Daryl Sabara",640
7,"J.K. Simmons",24000
8,"Brad Garrett",799
9,"Chris Hemsworth",26000
10,"Alan Rickman",25000
11,"Henry Cavill",15000
12,"Kevin Spacey",18000
13,"Giancarlo Giannini",451
14,"Peter Dinklage",22000
15,"Will Smith",10000
16,"Aidan Turner",5000
17,"Emma Stone",15000
18,"Mark Addy",891
19,"Christopher Lee",16000
20,"Naomi Watts",6000
21,"Leonardo DiCaprio",29000
22,"Robert Downey Jr.",21000
23,"Liam Neeson",14000
24,"Bryce Dallas Howard",3000
25,"Albert Finney",883
26,"Hugh Jackman",20000
27,"Steve Buscemi",12000
28,"Glenn Morshower",894
29,"Bingbing Li",974
30,"Tim Holmes",44000
31,"Jeff Bridges",12000
32,"Joe Mantegna",1000
33,"Ryan Reynolds",16000
34,"Tom Hanks",15000
35,"Christian Bale",23000
36,"Jason Statham",26000
37,"Peter Capaldi",17000
38,"Jennifer Lawrence",34000
39,"Benedict Cumberbatch",19000
40,"Eddie Marsan",979
41,"Jake Gyllenhaal",15000
42,"Charlie Hunnam",16000
43,"Harrison Ford",11000
44,"A.J. Buckley",275
45,"Kelly Macdonald",2000
46,"Sofia Boutella",998
47,"John Ratzenberger",1000
48,"Tzi Ma",268
49,"Oliver Platt",1000
50,"Robin Wright",18000
51,"Channing Tatum",17000
52,"Jim Broadbent",1000
53,"Amy Poehler",1000
54,"ChloŞ€ Grace Moretz",17000
55,"Jet Li",5000
56,"Jimmy Bennett",87000
57,"Tom Cruise",10000
58,"Jeanne Tripplehorn",711
59,"Joseph Gordon-Levitt",23000
60,"Scarlett Johansson",19000
61,"Angelina Jolie Pitt",11000
62,"Gary Oldman",10000
63,"Tamsin Egerton",622
64,"Keanu Reeves",18000
65,"Jon Hamm",4000
66,"Judy Greer",2000
67,"Damon Wayans Jr.",756
68,"Jack McBrayer",975
69,"Vivica A. Fox",890
70,"Gerard Butler",18000
71,"Nick Stahl",648
72,"Bradley Cooper",14000
73,"Matthew McConaughey",11000
74,"Mark Chinnery",544
75,"Paul Walker",23000
76,"Brad Pitt",11000
77,"Nicolas Cage",12000
78,"Justin Timberlake",3000
79,"Dominic Cooper",3000
80,"Bruce Spence",531
81,"Jennifer Garner",3000
82,"Zack Ward",662
83,"Anthony Hopkins",12000
84,"Robert Pattinson",21000
85,"Janeane Garofalo",1000
86,"Bernie Mac",1000
87,"Robin Williams",49000
88,"Essie Davis",309
89,"Josh Gad",1000
90,"Steve Bastoni",234
91,"Kelli Garner",730
92,"Matthew Broderick",2000
93,"Seychelle Gabriel",1000
94,"Philip Seymour Hoffman",22000
95,"Elisabeth Harnois",921
96,"Ty Burrell",3000
