movie_id,actor_id
1,1
307,1
456,1
802,1
2113,1
2190,1
2961,1
2,2
14,2
15,2
19,2
34,2
107,2
119,2
135,2
182,2
206,2
290,2
306,2
344,2
808,2
906,2
946,2
1097,2
1241,2
1355,2
1421,2
1437,2
1450,2
1520,2
1630,2
1643,2
1754,2
1899,2
1947,2
2118,2
2178,2
2390,2
2450,2
3059,2
3171,2
3583,2
3710,2
3818,2
4105,2
4129,2
4174,2
4353,2
3,3
64,3
138,3
260,3
297,3
589,3
1235,3
1346,3
2000,3
3164,3
4,4
98,4
129,4
180,4
675,4
779,4
1047,4
1967,4
1979,4
2453,4
3420,4
3568,4
4889,4
5,5
6,6
1406,6
1825,6
3227,6
4552,6
7,7
32,7
110,7
155,7
162,7
202,7
514,7
754,7
994,7
1216,7
1220,7
1253,7
1356,7
1372,7
1440,7
1613,7
1802,7
1910,7
2451,7
2566,7
2716,7
2865,7
3382,7
3439,7
3448,7
3462,7
3464,7
3614,7
4029,7
4278,7
4558,7
8,8
229,8
249,8
339,8
835,8
1254,8
9,9
18,9
82,9
128,9
131,9
161,9
245,9
321,9
626,9
795,9
1374,9
1584,9
1654,9
2790,9
3534,9
10,10
34,10
107,10
930,10
1087,10
1755,10
1980,10
2233,10
2536,10
3774,10
4129,10
11,11
16,11
549,11
555,11
611,11
1231,11
2321,11
12,12
958,12
980,12
1012,12
1049,12
1096,12
1193,12
1235,12
1264,12
1407,12
1413,12
1417,12
1463,12
1487,12
2033,12
2043,12
2607,12
2901,12
2913,12
3593,12
3769,12
4026,12
13,13
747,13
3079,13
17,14
48,14
336,14
373,14
568,14
1541,14
1743,14
2135,14
2293,14
2884,14
4302,14
4691,14
4731,14
4743,14
20,15
72,15
74,15
117,15
118,15
153,15
191,15
198,15
273,15
275,15
353,15
410,15
523,15
674,15
788,15
843,15
852,15
894,15
1469,15
2053,15
21,16
24,16
100,16
802,16
22,17
40,17
242,17
954,17
997,17
1390,17
1876,17
1918,17
2049,17
2415,17
2476,17
2640,17
2715,17
3390,17
23,18
482,18
819,18
1494,18
1617,18
1710,18
3252,18
3985,18
4566,18
25,19
71,19
119,19
135,19
237,19
238,19
271,19
341,19
983,19
1557,19
1643,19
2811,19
3231,19
3484,19
4336,19
26,20
265,20
953,20
1006,20
1015,20
1019,20
1023,20
1294,20
1454,20
1996,20
2050,20
2112,20
2261,20
2415,20
2724,20
2726,20
2732,20
2844,20
3202,20
3521,20
3948,20
4695,20
27,21
51,21
98,21
180,21
258,21
297,21
308,21
309,21
327,21
362,21
453,21
642,21
912,21
991,21
1115,21
1423,21
1454,21
1561,21
2068,21
2758,21
3059,21
3477,21
9,22
18,22
28,22
33,22
70,22
81,22
213,22
364,22
367,22
435,22
663,22
748,22
787,22
795,22
857,22
911,22
984,22
1248,22
1472,22
1702,22
2256,22
2312,22
2533,22
2722,22
2992,22
3272,22
3414,22
3478,22
4564,22
29,23
121,23
134,23
214,23
241,23
276,23
327,23
389,23
466,23
636,23
959,23
1014,23
1054,23
1075,23
1095,23
1233,23
1268,23
1483,23
1629,23
1779,23
1837,23
1872,23
1875,23
1901,23
1980,23
2376,23
2651,23
2750,23
2881,23
2893,23
3056,23
3205,23
3866,23
3982,23
30,24
45,24
580,24
596,24
1876,24
2762,24
3130,24
3369,24
4914,24
31,25
184,25
603,25
938,25
1499,25
3007,25
3494,25
4534,25
35,26
48,26
124,26
145,26
146,26
157,26
211,26
240,26
266,26
304,26
398,26
484,26
527,26
659,26
1042,26
1050,26
1085,26
1234,26
1515,26
1945,26
2058,26
2060,26
3170,26
3880,26
36,27
152,27
171,27
239,27
264,27
281,27
403,27
445,27
450,27
461,27
479,27
536,27
551,27
603,27
905,27
936,27
1007,27
1149,27
1343,27
1567,27
1587,27
2106,27
2384,27
2438,27
2704,27
2737,27
2750,27
2797,27
2877,27
3068,27
3480,27
3573,27
3675,27
4302,27
4368,27
4463,27
4497,27
37,28
54,28
198,28
426,28
1107,28
1328,28
2373,28
4340,28
38,29
679,29
1724,29
3639,29
39,30
4779,30
41,31
70,31
204,31
329,31
342,31
394,31
517,31
1049,31
1145,31
1164,31
1359,31
1408,31
1921,31
2028,31
2033,31
2130,31
2236,31
2500,31
2694,31
2704,31
3236,31
3292,31
3333,31
3449,31
42,32
756,32
896,32
1021,32
2222,32
2794,32
3229,32
3789,32
4618,32
43,33
124,33
181,33
204,33
242,33
406,33
676,33
813,33
919,33
1187,33
1865,33
2386,33
2497,33
2870,33
3055,33
3475,33
3595,33
4347,33
4516,33
44,34
92,34
130,34
209,34
312,34
354,34
397,34
458,34
537,34
541,34
649,34
656,34
660,34
713,34
837,34
846,34
912,34
1196,34
1225,34
1270,34
1429,34
1440,34
1589,34
1662,34
2394,34
2573,34
3361,34
4184,34
4,35
45,35
67,35
121,35
160,35
290,35
328,35
770,35
833,35
840,35
902,35
1053,35
1186,35
1234,35
1700,35
1757,35
2048,35
2127,35
2320,35
2330,35
2626,35
3030,35
3187,35
3309,35
3384,35
3780,35
3892,35
4278,35
46,36
300,36
318,36
438,36
620,36
680,36
725,36
809,36
1035,36
1154,36
1479,36
1535,36
1560,36
1726,36
1788,36
1952,36
2110,36
2141,36
2223,36
2275,36
2964,36
3018,36
3118,36
3862,36
4312,36
4459,36
47,37
1877,37
2017,37
2778,37
48,38
66,38
103,38
104,38
187,38
208,38
440,38
762,38
1186,38
2138,38
2150,38
3550,38
4271,38
4617,38
4865,38
49,39
183,39
605,39
906,39
1279,39
1639,39
1877,39
1942,39
2148,39
2615,39
50,40
117,40
142,40
213,40
367,40
605,40
961,40
1469,40
2261,40
2524,40
2534,40
3061,40
52,41
220,41
435,41
575,41
1085,41
1553,41
1646,41
1689,41
1802,41
1853,41
1863,41
2147,41
2639,41
2820,41
2874,41
2883,41
3358,41
3385,41
3855,41
4331,41
53,42
463,42
526,42
1983,42
3206,42
3648,42
55,43
269,43
318,43
357,43
388,43
400,43
472,43
558,43
693,43
700,43
935,43
973,43
1040,43
1083,43
1139,43
1206,43
1537,43
1572,43
1592,43
1648,43
1750,43
1778,43
2052,43
2153,43
2927,43
3025,43
3763,43
4397,43
4675,43
56,44
2719,44
4231,44
4578,44
4613,44
57,45
1041,45
1102,45
1886,45
1899,45
1906,45
3937,45
4051,45
58,46
44,47
57,47
59,47
68,47
120,47
239,47
354,47
584,47
1096,47
1589,47
60,48
248,48
2278,48
3380,48
61,49
103,49
386,49
581,49
625,49
772,49
863,49
966,49
1193,49
1740,49
1812,49
1824,49
1842,49
2039,49
2249,49
2289,49
3056,49
3205,49
3482,49
4093,49
4831,49
62,50
154,50
365,50
563,50
774,50
957,50
1631,50
1830,50
1974,50
2652,50
3414,50
3571,50
3948,50
63,51
143,51
169,51
613,51
940,51
972,51
1091,51
1155,51
1547,51
1591,51
1669,51
1719,51
1927,51
1949,51
1982,51
2066,51
2108,51
2746,51
2757,51
2929,51
3471,51
4906,51
55,52
65,52
272,52
312,52
327,52
420,52
455,52
904,52
987,52
1471,52
1489,52
1503,52
1728,52
1739,52
1888,52
2276,52
2309,52
2519,52
2701,52
2782,52
3206,52
3272,52
3400,52
3406,52
3553,52
3588,52
3605,52
3620,52
3676,52
3885,52
69,53
79,53
449,53
598,53
708,53
866,53
1623,53
1707,53
2200,53
2274,53
2399,53
2410,53
3308,53
4133,53
73,55
167,55
438,55
865,55
1035,55
1150,55
1172,55
1324,55
1894,55
1917,55
1925,55
1952,55
2494,55
75,56
106,56
556,56
973,56
2190,56
2237,56
2386,56
4436,56
76,57
136,57
142,57
156,57
159,57
190,57
221,57
235,57
236,57
285,57
371,57
439,57
595,57
672,57
729,57
737,57
740,57
931,57
941,57
1152,57
1484,57
1525,57
1869,57
2605,57
2769,57
3101,57
3129,57
3520,57
4447,57
77,58
1263,58
3165,58
3217,58
3606,58
4,59
78,59
98,59
316,59
654,59
692,59
1129,59
1143,59
1347,59
1476,59
1497,59
1616,59
1982,59
2846,59
3369,59
3469,59
3527,59
3673,59
4651,59
9,60
18,60
28,60
80,60
81,60
87,60
281,60
736,60
795,60
797,60
807,60
950,60
1190,60
1234,60
1279,60
1603,60
1688,60
1806,60
1850,60
2059,60
2106,60
2108,60
2561,60
2665,60
2832,60
2970,60
3673,60
3675,60
3889,60
3908,60
83,61
