movie_id,movie_title,title_year,duration,language,country,color,budgets,num_critic,facenumber_in_poster,num_voted_users,aspect_ratio,movie_facebook_likes,imdb_score,content_rating
1,Avatar,2009,178,English,USA,Color,237000000,723,0,886204,178,33000,79,PG-13
2,"Pirates of the Caribbean: At World's End",2007,169,English,USA,Color,300000000,302,0,471220,235,0,71,PG-13
3,Spectre,2015,148,English,UK,Color,245000000,602,1,275868,235,85000,68,PG-13
4,"The Dark Knight Rises",2012,164,English,USA,Color,250000000,813,0,1144337,235,164000,85,PG-13
6,"John Carter",2012,132,English,USA,Color,263700000,462,1,212204,235,24000,66,PG-13
7,"Spider-Man 3",2007,156,English,USA,Color,258000000,392,0,383056,235,0,62,PG-13
8,Tangled,2010,100,English,USA,Color,260000000,324,1,294810,185,29000,78,PG
9,"Avengers: Age of Ultron",2015,141,English,USA,Color,250000000,635,4,462669,235,118000,75,PG-13
10,"Harry Potter and the Half-Blood Prince",2009,153,English,UK,Color,250000000,375,3,321795,235,10000,75,PG
11,"Batman v Superman: Dawn of Justice",2016,183,English,USA,Color,250000000,673,0,371639,235,197000,69,PG-13
12,"Superman Returns",2006,169,English,USA,Color,209000000,434,0,240396,235,0,61,PG-13
13,"Quantum of Solace",2008,106,English,UK,Color,200000000,403,1,330784,235,0,67,PG-13
14,"Pirates of the Caribbean: Dead Man's Chest",2006,151,English,USA,Color,225000000,313,2,522040,235,5000,73,PG-13
15,"The Lone Ranger",2013,150,English,USA,Color,215000000,450,1,181792,235,48000,65,PG-13
16,"Man of Steel",2013,143,English,USA,Color,225000000,733,0,548573,235,118000,72,PG-13
17,"The Chronicles of Narnia: Prince Caspian",2008,150,English,USA,Color,225000000,258,4,149922,235,0,66,PG
18,"The Avengers",2012,173,English,USA,Color,220000000,703,3,995415,185,123000,81,PG-13
19,"Pirates of the Caribbean: On Stranger Tides",2011,136,English,USA,Color,250000000,448,4,370704,235,58000,67,PG-13
20,"Men in Black 3",2012,106,English,USA,Color,225000000,451,1,268154,185,40000,68,PG-13
21,"The Hobbit: The Battle of the Five Armies",2014,164,English,"New Zealand",Color,250000000,422,0,354228,235,65000,75,PG-13
22,"The Amazing Spider-Man",2012,153,English,USA,Color,230000000,599,0,451803,235,56000,70,PG-13
23,"Robin Hood",2010,156,English,USA,Color,200000000,343,0,211765,235,17000,67,PG-13
24,"The Hobbit: The Desolation of Smaug",2013,186,English,USA,Color,225000000,509,6,483540,235,83000,79,PG-13
25,"The Golden Compass",2007,113,English,USA,Color,180000000,251,2,149019,235,0,61,PG-13
26,"King Kong",2005,201,English,"New Zealand",Color,207000000,446,0,316018,235,0,72,PG-13
27,Titanic,1997,194,English,USA,Color,200000000,315,0,793059,235,26000,77,PG-13
28,"Captain America: Civil War",2016,147,English,USA,Color,250000000,516,0,272670,235,72000,82,PG-13
29,Battleship,2012,131,English,USA,Color,209000000,377,0,202382,235,44000,59,PG-13
30,"Jurassic World",2015,124,English,USA,Color,150000000,644,0,418214,20,150000,70,PG-13
31,Skyfall,2012,143,English,UK,Color,200000000,750,0,522030,235,80000,78,PG-13
32,"Spider-Man 2",2004,135,English,USA,Color,200000000,300,1,411164,235,0,73,PG-13
33,"Iron Man 3",2013,195,English,USA,Color,200000000,608,3,557489,235,95000,72,PG-13
34,"Alice in Wonderland",2010,108,English,USA,Color,200000000,451,0,306320,185,24000,65,PG
35,"X-Men: The Last Stand",2006,104,English,Canada,Color,210000000,334,0,383427,235,0,68,PG-13
36,"Monsters University",2013,104,English,USA,Color,200000000,376,0,235025,185,44000,73,G
37,"Transformers: Revenge of the Fallen",2009,150,English,USA,Color,200000000,366,0,323207,235,0,60,PG-13
38,"Transformers: Age of Extinction",2014,165,English,USA,Color,210000000,378,2,242420,235,56000,57,PG-13
39,"Oz the Great and Powerful",2013,130,English,USA,Color,215000000,525,4,175409,235,60000,64,PG
40,"The Amazing Spider-Man 2",2014,142,English,USA,Color,200000000,495,0,321227,235,41000,67,PG-13
41,"TRON: Legacy",2010,125,English,USA,Color,170000000,469,0,264183,235,30000,68,PG
42,"Cars 2",2011,106,English,USA,Color,200000000,304,0,101178,235,10000,63,G
43,"Green Lantern",2011,123,English,USA,Color,200000000,436,2,223393,235,24000,56,PG-13
44,"Toy Story 3",2010,103,English,USA,Color,200000000,453,3,544884,185,30000,83,G
45,"Terminator Salvation",2009,118,English,USA,Color,200000000,422,0,286095,235,0,66,PG-13
46,"Furious 7",2015,140,English,USA,Color,190000000,424,0,278232,235,94000,72,PG-13
47,"World War Z",2013,123,English,USA,Color,190000000,654,0,465019,235,129000,70,PG-13
48,"X-Men: Days of Future Past",2014,149,English,USA,Color,200000000,539,7,514125,235,82000,80,PG-13
49,"Star Trek Into Darkness",2013,132,English,USA,Color,190000000,590,0,395573,235,92000,78,PG-13
50,"Jack the Giant Slayer",2013,114,English,USA,Color,195000000,338,1,106416,235,22000,63,PG-13
51,"The Great Gatsby",2013,143,English,Australia,Color,105000000,490,4,362912,235,115000,73,PG-13
